time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1325648890133816e-05,1.0201792654019119e-05,10.005601334021675,0.002634686138086373,0.0029100901498839704,0.0,-0.0006916186824325793,0.0006235638628088681,0.18669781957608012,0.016621435162404948,0.0175257048952148,0.0,462.9380458738173,464.3146968578879,462.90696547513346,464.21277012022375
0.12000000000000001,-0.00012449084146123028,0.00011081646668602644,10.021561905678848,0.0036320906894422578,0.004332208500731127,0.0,-0.0032466858996580807,0.002840552098472422,0.3452850681498063,0.016627342598126118,0.00955004096813594,0.0,455.3231847060728,454.68467290035096,455.32816600024046,455.3285461870482
0.18,-0.0004265612272735895,0.00040890550726895383,10.043583407737643,0.01967354691981882,0.011929822003008184,0.0,-0.007507651860365737,0.00863853354184875,0.38873209058492963,-0.027077907943529808,0.037408426578112004,0.0,417.1823546031578,419.6074377224517,420.94766285665077,417.1491005667864
0.23999999999999996,-0.001138047298914642,0.0013191104373574216,10.069352414206415,0.018828287268209287,0.01727807074803067,0.0,-0.016759603083716913,0.021608481950115097,0.4701982843080951,-0.01853275236781578,0.016872057897757732,0.0,432.525214698677,430.7928483423011,430.4076614575683,431.1300387597281
0.3,-0.002603733107635607,0.003142921177006921,10.106021431033877,0.025662636186105203,0.019239263088761227,0.0,-0.03233470927739713,0.040104836479864264,0.7519354088500287,-0.05063592290723473,0.026409983803525425,0.0,491.10268066837244,491.8094604415703,492.8503727950233,490.47200334988884
0.36000000000000004,-0.005108888389334864,0.006209105961957533,10.159685648442228,0.023144888756307047,0.03230474061531474,0.0,-0.05281014568960686,0.0617603427091047,1.036626458171211,-0.043843092176471664,0.062346642512455024,0.0,491.76418143518924,494.4192622268602,492.21632080337207,492.7175149032812
0.4200000000000001,-0.00895062839757423,0.010375249849940413,10.224544031441445,0.02057845099906963,0.03649827939454475,0.0,-0.07567469913209236,0.07684932760606908,1.1252264634204532,-0.042020365983837626,0.053678382001512,0.0,433.761257181174,433.0353727963432,435.6123044342912,435.76359959354795
0.48000000000000015,-0.014269570047568842,0.015434012537162079,10.295075864879633,0.026923195135687195,0.0428502228947476,0.0,-0.10224965973394833,0.09238879842884283,1.2256916579993935,-0.010580721865109213,0.07189940036631032,0.0,437.1497744442866,438.66789755556084,437.88977872808687,440.49665159570503
0.5400000000000001,-0.021325532979519033,0.021547369638808562,10.372016024365607,0.027933822519862872,0.047295474947845584,0.0,-0.13341171873303112,0.11147696956891964,1.338828435309373,0.0023223710979098037,0.06655221803650248,0.0,442.6609744134468,442.22455890719664,442.7530653709229,443.8133550409548
0.6000000000000002,-0.03025299562779299,0.028772429513262032,10.453871067608755,0.02808108115296104,0.05128323548440328,0.0,-0.16454614325455824,0.12937209837369493,1.3895906098871245,-0.0004234708981519147,0.0662441501222979,0.0,423.49834423864036,423.4753748746849,422.9312519326129,422.69468065385644
0.6600000000000003,-0.04114307808555287,0.03708585425856029,10.539103353424055,0.028822447178651345,0.05531832595650954,0.0,-0.19884632654482928,0.14782050009657277,1.451382069491768,-0.011290527303135732,0.06209521525794095,0.0,427.212460741056,426.8618693095243,427.3288756966387,426.4016801104872
0.7200000000000003,-0.054147224914988065,0.04650322186719896,10.627429346595449,0.02964202384813941,0.06295451967123711,0.0,-0.23531695076886228,0.16617836137216552,1.4927165945167584,-0.025947209453123336,0.08259038461568306,0.0,419.4492304147551,421.22913057418475,421.2409599771733,419.9717776688829
0.7800000000000004,-0.06999198901061349,0.057238110714960704,10.725247895428797,0.028743113430714118,0.0811122959848003,0.0,-0.29519142010352983,0.19153191384563564,1.7673445576699796,-0.03611343993479249,0.041568834013847304,0.0,493.3318080942235,490.29700265657436,492.6440793970521,491.89169623492637
0.8400000000000004,-0.08955913064684584,0.06938395800041866,10.83629524793242,0.029784719162474715,0.08389712463458388,0.0,-0.35733284701607926,0.21341587599728998,1.9339272285287534,-0.017655251726773027,0.04639557387170947,0.0,461.5133305161239,461.89507549441714,460.5133559965817,461.970719934415
0.9000000000000005,-0.1122789203541401,0.08263525135998777,10.949756445476508,0.029159197275784976,0.08726697029304997,0.0,-0.4002544628128686,0.22824493407865024,1.8482293311089355,-0.011541249021711074,0.0536672468339715,0.0,377.8923255338349,378.5945311720005,377.92605154952025,378.5149212606509
0.9600000000000005,-0.13804985967146904,0.09690612780458935,11.062877852996575,0.028461896187931046,0.09060772121315264,0.0,-0.45910275334975065,0.24737669046702493,1.9223224543601394,-0.011813419306888916,0.04847612881245185,0.0,433.5878185989642,433.1533283289276,432.6821938465257,432.65940050529707
1.0200000000000005,-0.1677866669815178,0.11242714895917298,11.18440036146514,0.028909296419915798,0.09536472953943687,0.0,-0.5326381925099228,0.2700172353429534,2.1279964308784076,-0.0011734428355656204,0.06221750034617406,0.0,473.26627748914177,474.32435689183615,473.68390994292525,474.50149209138505
1.0800000000000005,-0.2024420466598093,0.12943688206885112,11.322342913283133,0.029652350640737346,0.09923311996680706,0.0,-0.6230201044322952,0.2970408432492986,2.469330836297782,0.007579269901925522,0.056812192456797084,0.0,513.5588472447411,513.177381994936,512.8694373893277,513.4906569780572
1.1400000000000006,-0.24153009049451235,0.14776048863739702,11.469757081029321,0.030201958242049187,0.10461789489235418,0.0,-0.6803634968181681,0.31378819307820616,2.4444640169248237,0.009960081875031593,0.07105740651402213,0.0,402.27426581288427,403.56528687338505,402.8680433275271,403.083143875263
